iter	Passed	Remaining
997	9881	89135
998	9894	89149
999	9903	89128
1000	9912	89111
1001	9925	89131
1002	9935	89124
1003	9945	89108
1004	9955	89100
1005	9963	89076
1006	9972	89057
1007	9982	89045
1008	9990	89023
1009	10009	89090
1010	10021	89107
1011	10031	89098
1012	10041	89087
1013	10050	89069
1014	10060	89054
1015	10069	89035
1016	10078	89023
1017	10087	89004
1018	10096	88983
1019	10105	88967
1020	10118	88982
1021	10127	88965
1022	10140	88986
1023	10152	88989
1024	10161	88976
1025	10170	88957
1026	10184	88984
1027	10200	89024
1028	10210	89014
1029	10220	89009
1030	10229	88987
1031	10238	88971
1032	10247	88955
1033	10256	88931
1034	10265	88916
1035	10276	88913
1036	10286	88911
1037	10295	88892
1038	10318	88992
1039	10327	88973
1040	10337	88964
1041	10346	88949
1042	10355	88928
1043	10364	88913
1044	10373	88894
1045	10382	88880
1046	10392	88864
1047	10405	88883
1048	10415	88874
1049	10428	88891
1050	10437	88874
1051	10448	88869
1052	10464	88916
1053	10473	88899
1054	10482	88876
1055	10491	88859
1056	10499	88834
1057	10510	88832
1058	10520	88819
1059	10534	88847
1060	10546	88858
1061	10556	88846
1062	10565	88825
1063	10574	88805
1064	10582	88784
1065	10591	88764
1066	10599	88736
1067	10608	88724
1068	10617	88708
1069	10626	88687
1070	10634	88662
1071	10643	88640
1072	10653	88634
1073	10663	88622
1074	10671	88596
1075	10680	88577
1076	10688	88556
1077	10698	88542
1078	10709	88541
1079	10717	88520
1080	10726	88504
1081	10736	88487
1082	10744	88462
1083	10752	88444
1084	10761	88425
1085	10773	88426
1086	10782	88409
1087	10791	88391
1088	10800	88375
1089	10810	88369
1090	10820	88362
1091	10829	88340
1092	10838	88324
1093	10849	88321
1094	10858	88305
1095	10868	88293
1096	10876	88270
1097	10886	88262
1098	10895	88243
1099	10902	88214
1100	10911	88196
1101	10920	88180
1102	10930	88171
1103	10940	88155
1104	10947	88127
1105	10962	88155
1106	10972	88145
1107	10980	88124
1108	10990	88111
1109	10999	88094
1110	11009	88085
1111	11019	88073
1112	11028	88059
1113	11036	88038
1114	11046	88026
1115	11056	88018
1116	11067	88012
1117	11076	88000
1118	11086	87986
1119	11094	87965
1120	11105	87959
1121	11117	87972
1122	11130	87985
1123	11139	87967
1124	11148	87950
1125	11157	87933
1126	11167	87919
1127	11176	87902
1128	11185	87892
1129	11195	87881
1130	11205	87867
1131	11214	87852
1132	11222	87830
1133	11231	87812
1134	11240	87797
1135	11249	87779
1136	11258	87760
1137	11268	87753
1138	11279	87746
1139	11290	87748
1140	11299	87731
1141	11310	87727
1142	11319	87711
1143	11331	87722
1144	11342	87719
1145	11351	87701
1146	11360	87684
1147	11369	87667
1148	11378	87647
1149	11388	87640
1150	11399	87636
1151	11411	87646
1152	11423	87653
1153	11433	87644
1154	11442	87626
1155	11451	87607
1156	11460	87592
1157	11469	87575
1158	11479	87563
1159	11489	87555
1160	11497	87535
1161	11506	87513
1162	11522	87551
1163	11532	87541
1164	11541	87530
1165	11557	87563
1166	11566	87548
1167	11576	87538
1168	11586	87526
1169	11595	87515
1170	11605	87505
1171	11616	87500
1172	11626	87490
1173	11636	87480
1174	11645	87467
1175	11655	87455
1176	11663	87434
1177	11672	87413
1178	11680	87390
1179	11688	87367
1180	11696	87343
1181	11704	87320
1182	11715	87315
1183	11725	87306
1184	11736	87308
1185	11752	87342
1186	11764	87343
1187	11774	87339
1188	11783	87323
1189	11794	87317
1190	11804	87306
1191	11814	87298
1192	11823	87280
1193	11833	87273
1194	11844	87272
1195	11854	87265
1196	11865	87264
1197	11876	87261
1198	11888	87264
1199	11899	87263
1200	11910	87264
1201	11921	87262
1202	11933	87262
1203	11945	87273
1204	11958	87281
1205	11967	87263
1206	11975	87244
1207	11984	87224
1208	11993	87208
1209	12002	87191
1210	12012	87179
1211	12020	87156
1212	12030	87146
1213	12039	87135
1214	12053	87155
1215	12063	87139
1216	12073	87129
1217	12083	87125
1218	12093	87111
1219	12106	87129
1220	12119	87137
1221	12127	87116
1222	12138	87110
1223	12147	87094
1224	12155	87075
1225	12164	87055
1226	12173	87038
1227	12181	87019
1228	12190	86997
1229	12200	86992
1230	12210	86980
1231	12220	86973
1232	12230	86962
1233	12240	86952
1234	12249	86937
1235	12258	86923
1236	12267	86906
1237	12279	86906
1238	12289	86895
1239	12297	86873
1240	12306	86860
1241	12315	86842
1242	12323	86820
1243	12334	86817
1244	12344	86811
1245	12354	86800
1246	12364	86792
1247	12374	86779
1248	12382	86760
1249	12394	86761
1250	12403	86743
1251	12413	86733
1252	12424	86730
1253	12433	86716
1254	12442	86698
1255	12454	86704
1256	12465	86702
1257	12475	86692
1258	12484	86679
1259	12498	86694
1260	12512	86714
1261	12521	86701
1262	12533	86699
1263	12542	86687
1264	12560	86730
1265	12570	86720
1266	12579	86706
1267	12590	86705
1268	12600	86695
1269	12610	86687
1270	12622	86689
1271	12635	86699
1272	12645	86690
1273	12655	86683
1274	12665	86671
1275	12674	86658
1276	12692	86698
1277	12701	86683
1278	12710	86669
1279	12719	86653
1280	12730	86645
1281	12762	86788
1282	12771	86769
1283	12778	86744
1284	12788	86730
1285	12795	86705
1286	12806	86699
1287	12815	86686
1288	12825	86673
1289	12850	86764
1290	12859	86748
1291	12868	86731
1292	12876	86710
1293	12885	86692
1294	12894	86675
1295	12902	86654
1296	12925	86731
